occupation_code	occupation_text	display_level	selectable	sort_sequence
474041	Hazardous materials removal workers	3	T	756
474051	Highway maintenance workers	3	T	757
474061	Rail-track laying and maintenance equipment operators	3	T	758
474071	Septic tank servicers and sewer pipe cleaners	3	T	759
474090	Miscellaneous construction and related workers	2	T	760
475011	Derrick operators, oil and gas	3	T	763
475012	Rotary drill operators, oil and gas	3	T	764
475013	Service unit operators, oil and gas	3	T	765
475022	Excavating and loading machine and dragline operators, surface mining	3	T	766
475041	Continuous mining machine operators	3	T	767
475044	Loading and moving machine operators, underground mining	3	T	769
475071	Roustabouts, oil and gas	3	T	771
475081	Helpers--extraction workers	3	T	772
475097	Earth drillers, except oil and gas; and explosives workers, ordnance handling experts, and blasters	3	T	773
475098	Underground mining machine operators and extraction workers, all other	3	T	774
490000	Installation, maintenance, and repair occupations	0	T	775
491011	First-line supervisors of mechanics, installers, and repairers	3	T	776
492011	Computer, automated teller, and office machine repairers	3	T	778
492021	Radio, cellular, and tower equipment installers and repairers	3	T	780
492022	Telecommunications equipment installers and repairers, except line installers	3	T	781
492091	Avionics technicians	3	T	783
492092	Electric motor, power tool, and related repairers	3	T	784
492093	Electrical and electronics installers and repairers, transportation equipment	3	T	785
492094	Electrical and electronics repairers, commercial and industrial equipment	3	T	786
492095	Electrical and electronics repairers, powerhouse, substation, and relay	3	T	787
492096	Electronic equipment installers and repairers, motor vehicles	3	T	788
492097	Audiovisual equipment installers and repairers	3	T	789
492098	Security and fire alarm systems installers	3	T	790
493011	Aircraft mechanics and service technicians	3	T	792
493021	Automotive body and related repairers	3	T	794
493022	Automotive glass installers and repairers	3	T	795
493023	Automotive service technicians and mechanics	3	T	796
493031	Bus and truck mechanics and diesel engine specialists	3	T	797
493041	Farm equipment mechanics and service technicians	3	T	799
493042	Mobile heavy equipment mechanics, except engines	3	T	800
493043	Rail car repairers	3	T	801
493051	Motorboat mechanics and service technicians	3	T	803
493053	Outdoor power equipment and other small engine mechanics	3	T	805
